epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,6076.41,0.58435,0.27688,1.20307,0.97796,0.97714,0.99129,0.83455,0.65061,0.2134,1.46076,0.00786438,0.00786438,0.00786438
125,6124.24,0.58738,0.27413,1.20439,0.97704,0.96681,0.98758,0.82922,0.64704,0.21629,1.43645,0.00783231,0.00783231,0.00783231
126,6172.05,0.57872,0.27638,1.20363,0.98042,0.9829,0.99143,0.83278,0.64616,0.20943,1.43614,0.00780007,0.00780007,0.00780007
127,6219.9,0.58452,0.27924,1.20503,0.97819,0.96848,0.98978,0.8281,0.64289,0.21835,1.4234,0.00776766,0.00776766,0.00776766
128,6267.88,0.58417,0.28429,1.21962,0.97164,0.98213,0.99037,0.83331,0.65016,0.21461,1.43788,0.00773509,0.00773509,0.00773509
129,6315.77,0.56714,0.26997,1.1959,0.97167,0.97496,0.9893,0.83844,0.63371,0.2134,1.4279,0.00770234,0.00770234,0.00770234
130,6363.64,0.56725,0.27265,1.20399,0.97125,0.97489,0.98879,0.83491,0.63502,0.21168,1.42656,0.00766944,0.00766944,0.00766944
131,6411.6,0.55541,0.26526,1.18332,0.97167,0.97961,0.99023,0.82966,0.64999,0.20945,1.45006,0.00763637,0.00763637,0.00763637
132,6459.48,0.56474,0.26439,1.19822,0.97026,0.97855,0.98992,0.83494,0.63897,0.20685,1.43325,0.00760314,0.00760314,0.00760314
133,6507.5,0.55986,0.26897,1.1907,0.97357,0.98256,0.99046,0.83685,0.64488,0.20536,1.46972,0.00756976,0.00756976,0.00756976
